Nombre,Referencia,CODIGO,Rubro,COD,Familia,COD,Material,COD,Detalle,COD,Título,COD,Teñido,COD,Nombre Color,COD,Modelo,Medida,Texto,Talla,Otros
H-WME-0465,H-WME-0465-396-RED FLAME,Y-W-ME-SW-4/6.5-A-396,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,RED FLAME,396,,,,,
H-WME-0465,H-WME-0465-398-STONE GREEN,Y-W-ME-SW-4/6.5-A-398,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,STONE GREEN,398,,,,,
H-WME-0465,H-WME-0465-3B2-ROSE VIOLET,Y-W-ME-SW-4/6.5-A-3B2,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,ROSE VIOLET,3B2,,,,,
H-WME-0465,H-WME-0465-3B3-KEEPSAKE VIOLET,Y-W-ME-SW-4/6.5-A-3B3,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,KEEPSAKE VIOLET,3B3,,,,,
H-WME-0465,H-WME-0465-3B4-GARDEN GREEN,Y-W-ME-SW-4/6.5-A-3B4,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,GARDEN GREEN,3B4,,,,,
H-WME-0465,H-WME-0465-3B5-SCARAB,Y-W-ME-SW-4/6.5-A-3B5,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SCARAB,3B5,,,,,
H-WME-0465,H-WME-0465-3B6-DELPHINIUM BLUE,Y-W-ME-SW-4/6.5-A-3B6,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,DELPHINIUM BLUE,3B6,,,,,
H-WME-0465,H-WME-0465-3B7-BLUE SAPPHIRE,Y-W-ME-SW-4/6.5-A-3B7,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,BLUE SAPPHIRE,3B7,,,,,
H-WME-0465,H-WME-0465-3B8-DESERT PALM,Y-W-ME-SW-4/6.5-A-3B8,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,DESERT PALM,3B8,,,,,
H-WME-0465,H-WME-0465-3B9-TAPENADE,Y-W-ME-SW-4/6.5-A-3B9,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,TAPENADE,3B9,,,,,
H-WME-0465,H-WME-0465-3BA-TWILIGHT MAUVE,Y-W-ME-SW-4/6.5-A-3BA,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,TWILIGHT MAUVE,3BA,,,,,
H-WME-0465,H-WME-0465-3BB-SHELL,Y-W-ME-SW-4/6.5-A-3BB,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SHELL,3BB,,,,,
H-WME-0465,H-WME-0465-3BC-GEMSTONE SPACE DYE,Y-W-ME-SW-4/6.5-A-3BC,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,GEMSTONE SPACE DYE,3BC,,,,,
H-WME-0465,H-WME-0465-3BD-PASTEL SPACE DYE,Y-W-ME-SW-4/6.5-A-3BD,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,PASTEL SPACE DYE,3BD,,,,,
H-WME-0465,H-WME-0465-3BE-BETTA FISH SPACE DYE,Y-W-ME-SW-4/6.5-A-3BE,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,BETTA FISH SPACE DYE,3BE,,,,,
H-WME-0465,H-WME-0465-403-BLUEBERRY,Y-W-ME-SW-4/6.5-A-403,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,BLUEBERRY,403,,,,,
H-WME-0465,H-WME-0465-403/298-BLUEBERRY + STRING,Y-W-ME-SW-4/6.5-A-403/298,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,BLUEBERRY/STRING,403/298,,,,,
H-WME-0465,H-WME-0465-415-SKY BLUE,Y-W-ME-SW-4/6.5-A-415,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SKY BLUE,415,,,,,
H-WME-0465,H-WME-0465-416-HAND DYE INDIGO,Y-W-ME-SW-4/6.5-A-416,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,HAND DYE INDIGO,416,,,,,
H-WME-0465,H-WME-0465-417-SEMI-SOLID INDIGO,Y-W-ME-SW-4/6.5-A-417,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SEMI-SOLID INDIGO,417,,,,,
